label,text
Not Violence,"td errado sinceramente, mas pelo menos vou comer docinho agora num aniversario \o/ se nao tiver docinho eu faço cartaz pq #ogiganteacordou"
Not Violence,Por mim eu ficava na Rocinha pra smp ��
Not Violence,"RT @luanftbts: meu pai disse que o terremoto foi mais no centro e na zona sul,graças a Deus eles estão na zona norte"
Not Violence,TCU encontra falhas na distribuição de merenda escolar no ES https://t.co/S8GG9wm5FU
Not Violence,Mantenha-se distante de R. André Cavalcanti hoje #TransitoRJ. Trânsito está 23m mais lento que o normal… https://t.co/pmBDsZA1u9
Not Violence,@brenda_prin15 Oi. Agora? Sabe dizer perto de onde?
Not Violence,"Agora que eu vi os malucos chegando na ROCINHA, Mano bglh doido"
Not Violence,"Klisrander: Quando isso acabar,os comerciantes, devem processar o governo pelo prejuízo que eles deram https://t.co/7goFZRFbwW"
VeryHight,"Motociclista morre ap\u00f3s ser baleado na Via Dutra, RJ https://t.co/zKoPrpE9nb"
Not Violence,"Sejam bem vindos ao @AlertaAssaltoRJ .Canal criado ontem e ja conta c/mais de 400 seguidores destinados alertar sobre assaltos, tiros e etc."
Not Violence,Que Interesses Escusos Levariam a Midia Corporativa No Brazil Não Dilvugar o Toma-Lá-Dá-Cá da Oposiçãohttp://t.co/HiBPeCgUP0#vemprarua UK
Not Violence,"Obg amigo, conte conosco RT @YelowCarlos: boa tarde! Boa iniciativa. Do jeito que o Rio está, irão ter bastante conteúdo!"
Not Violence,RT @Qaphsiel: Police have driven the protesters out of the center of downtown POA for the moment at least. #protestopoa #changebrazil
Not Violence,Feira de Condomínios do Nordeste é realizada na Zona Sul do Recife.https://t.co/m8qKFvskDV https://t.co/S2AbQtwUId
Not Violence,Caos no Espírito Santo! - No fio da navalha Como se proteger da violência causada pela greve da PM? https://t.co/xdjDPiGSWV
VeryHight,"Persegui\u00e7\u00e3o nas proximidades da comunidade da Chatuba, em Mesquita, acabou com 2 baleados esta manh\u00e3 https://t.co/YHLxWkLJcq #TirosRJ"
Not Violence,#trânsitorj https://t.co/O1K6H3ECwp
VeryHight,Assalto @DCduquedecaxias Caxias.Loja na frente do Ponto do Barra da Tijuca.
Not Violence,RT @ProfessorDum: Lumos para o Espírito Santo!
Medium,com esses bglhs acontecendo aq na rocinha vou até evitar vim curtir emoções amh ��
Not Violence,#chupagenoino torta na cara é o q vc merece palhaço!!! #forapt #foradilma #chupadilma #impeachmentdilma #vemprarua https://t.co/SjKBeoV7yB
High,"RT @SGOurgente: Agora: Caveirão faz operação no Salgueiro, traficantes atiram ."
Not Violence,"Encontrei essa gravação incrível de ""Espírito Santo"" no #Smule: https://t.co/8d7PJ45adV @prialcantara #SingKaraoke"
VeryHight,Evitem o local #TiroteioRJ RT @tiagogodin: Muito tiro no Juramento. EVITEM passar pela Marthin Luther King Jr entre Irajá e Vicente de Carva
Not Violence,@jaqueborchardt pra resolver deves os problemas no Espírito Santo será convocado esse poderoso herói japonês o pod… https://t.co/GezoeaJx8O
Not Violence,RT @awahsh: 28th June 2013. Infront of ArabellaKatameya #cairo #morsi #morsy #ikhwan #mb #kefaya #egypt #jan25 #tahrir #protest #banzene #k…
Not Violence,RT @InformeRJO: Lembrem-se desse desenho nas próximas eleições. #NãoéPor20Centavos #OGiganteAcordou #VemPraRua http://t.co/HgCnxSLHE4
Not Violence,#confissoesdamadrugada usei a verba indenizatória deste mês para dar entrada em um apartamento ! #vemprarua #acordabrasil #politicosfdp
VeryHight,"RT @Paulargoncalves: Fui assaltada as 17h na altura do INTO antes da Av.Brasil. Arma na cara, mandaram deitar no chão. E a PM? Nada faz."
Not Violence,"RT @citouapoeta: O Espírito Santo não olha o teu erro, Ele olha além do teu erro e Ele trabalha em defesa da sua própria correção. Ele não…"
Not Violence,Meus amigos pobres postam fotos da manifestação. Já os ricos do circo. #changebrazil - Foto: Edimar Soares http://t.co/MhpqkF2ISb
Not Violence,"@ops_vinny96 obrigada, alertamos por aqui!"
Not Violence,Nota das Brigadas Populares sobre a crise da segurança pública no Espírito Santo https://t.co/BYnLeQkbFN
Not Violence,"vo sai toma um banho e acho q ja vo pra cama ve um pouco de tv , amanha tem manifestacao #vemprarua"
Not Violence,@gmarlon167 ol\u00e1! sabe dizer onde s\u00e3o os tiros?
Not Violence,I'm at Zona Sul in Porto Alegre https://t.co/iEhn1pqUwv
Not Violence,"RT @luizMilfont: Brazilian governmt sent war tanks to maracana to avoid demonstrators on cup final, sunday #protestorj @cnni @plevy thats o…"
VeryHight,"PM foi morto a tiros na Rua Clara de Ara\u00fajo, no bairro Jardim Tropical, em Nova Igua\u00e7u, esta manh\u00e3 #TirosRJ https://t.co/LvcB4ys9r5"
Not Violence,RT @ConversaAfiada: Guerra Civil no Espírito Santo!https://t.co/pYmh5vkhIu https://t.co/sKFzoKT0FZ
High,#FiquemAtentos RT @gracapaes: tiros e fogos ao mesmo tempo no morro São José Operário na Praça Seca. Há horas!!!
Not Violence,"RT @Kscardini: Espírito Santo nos trends, pena que é através de tragédia."
Not Violence,"RT @ConselhodeUmGay: Não é pelo R$ 0,20 centavos ... é pelos 20cm .... #VemPraRUA"
Not Violence,@paula_ugalde @AnonymousFrai @scoopit já sei que foi passada e blá blá #changebrazil
VeryHight,"RT @Desesquerdizada: A segurança no Espírito Santo já está péssima, e pra ajudar o @g1 diz que um arrastão era apenas uma ""correria"". @Dese…"
Not Violence,"eu esqueci de comentar aqui, mas espero que tudo fique bem no Espírito Santo ;/"
VeryHight,RT @Estadao: Suspeito de 7 estupros na zona sul de São Paulo é preso; homem usava carro para atacar as vítimas https://t.co/i0ZmoNGU6n http…
Not Violence,"\Isso n\u00e3o vai acabar\""? Pergunta vi\u00fava de PM morto a tiros no Vidigal, durante enterro. Capa de hoje do @jornalodia\u2026 https://t.co/FTyZjJ5FxV"""
Not Violence,Coitado dos vizinhos do Sérgio Cabral... #manifestação #mudabrasil
Not Violence,Rocinha pique filme uma noite de crime
Not Violence,Wikileaks - Grupo Mídia Gaucho Afiliado Rede Globo Tem Ideologia Reveladahttp://t.co/cJiIxBHImV #ProtestoPoa Praça da Matriz #Vemprarua
Not Violence,RT @pedrojmoraes: 11. Eu sou muito pilhado pras coisas Se tu me chamar pra ir comprar cartolina lá na Zona Sul eu fecho contigo e azar
High,RT @LeiSecaRJ: RT @DarkeDisse: Tiros pela Vila Cruzeiro Complexo do Alemão atividade Moradores
VeryHight,"Zona Norte lidera registros de tiroteios: \Campe\u00f5es\"" s\u00e3o Complexo do Alem\u00e3o (218), Mar\u00e9 (119) e Penha (128)\u2026 https://t.co/bBKtC5TLYF"""
VeryHight,\u00daltimas 24h: tiros em ao menos 12 locais #TirosRJ https://t.co/CfsyleNVLh
High,"RT @paulalagrotta: @LeiSecaRJ passei na Av. Brasil agora, altura de Parada de Lucas, ouvindo tiroteio"
Not Violence,"RT @marthaeferreira: Onda de manifestações tem 1 protesto por hora e atinge 353 cidades./Véia, tua hora chegou! #foradilma"
Not Violence,Rio NEWS: Manifestação no Rio AO VIVO - http://t.co/ieSELS65MP #ProtestoRJ #ogiganteacordou #VemPraRua manifestação pacifica
VeryHight,Tiros no Complexo do Alem\u00e3o (19:13) #TirosRJ
Not Violence,RT @luualvesup: Come to Espírito Santo https://t.co/sblXP8q6aY
VeryHight,"RT @franciscorazzo: Espírito Santo, 3 dias e 62 homicídios. Brasil, 365 dias e 60 mil homicídios."
VeryHight,RT @LeiSecaRJ: RT @joseadolfojr: Siena cinza KOA-4701 furtado dentro do estacionamento da prefeitura na lagoa. #VcViu #RoubadoRj
Not Violence,@TSouza_ do tipo sou adultinho e sei toda as porr q aconteceram nesse pais vamo mudar geral #PASSELIVRE
Not Violence,Annabelle visar #upp #sina tatueringar https://t.co/Sfi3exlA1t
Not Violence,#oGiganteacordou Mentira meu pau ainda ta mole !
VeryHight,Entre julho de 2016 e julho de 2017 houve em m\u00e9dia 10 tiroteios/disparos de arma por dia na Cidade do Rio\u2026 https://t.co/6SOzVfX1q2
Not Violence,RT @Alanagames1211: ME RECOMENDARAM EU JOGAR GTA.. LOGO EU MORADORA DO ESPIRITO SANTO -;
Not Violence,Os peixinhos ganhando dos tubarões !!! #vemprarua http://t.co/e3pqYOQTGe
High,"RT @vinigrilo1: Moradores com medo e assustados.O fruto do sustento ao tráfico, é esse ! #rocinha https://t.co/FdPZzlHNlG"
Not Violence,C essa volta p casa de hj aprendi q não posso mais voltar pela zona sul em dia de centro pq tô super atrasada
VeryHight,RT @Tigresadiz: Coisa mais triste q vi estes dias foi foto de alunos da escola da Rocinha q acompanho escondidos embaixo das carteiras por…
Not Violence,"@Nielcxv Bom dia, Wesley. Onde foi isso?"
Not Violence,"RT @CaiqueGama: Hoje vai ser histórico, São Paulo vai parar. #vemprarua"
VeryHight,RT @fogocruzadoapp: Últimas 24h: tiros em 8 locais. Ao menos 1 pessoa morreu #TirosRJ #BalançoDiário https://t.co/JsEndsl5gf
Not Violence,"Nogueira, Juramento, rocinha.. e a mídia foca em que? �� muita fé dnv"
Not Violence,"RT @NewsRevo: Reason for Brazil Protests in one amazing image #Fortaleza, #Brazil Confederations Cup game on 6/27 #ChangeBrazil http://t.co…"
Not Violence,RT @SeuDionisio: Olha o clima !!!!@bandnewsfmrio @LeiSecaRJ Rocinha https://t.co/M0wQwaK0UH
VeryHight,"RT @huffpostbrasil: Com 1 roubo a cada 4 minutos, Rio teme repetir colapso na segurança do Espírito Santo https://t.co/4gTl197886 https://t…"
Not Violence,"RT @AldaTelles: Entre Jesus e o Espírito Santo, espero que o Pai proteja o Filho. Amen."
Not Violence,Gostei de um vídeo @YouTube https://t.co/RCK59ODMnN Cabelinho - Zona Sul (KondZilla)
Not Violence,@iaesanti @j_albuquerquep só se for do Espírito Santo ������
VeryHight,"Um homem foi baleado ao tentar assaltar um policial na Via Dutra, nesta tarde. #TirosRJ https://t.co/gfRzAuAJbG"
Not Violence,@Fischer_2009 Isso. Pr\u00f3xima
Not Violence,"RT @felipeohnesorge: Eu tô de cara de que a situação do espírito santo não tá sendo mostrada em rede nacional, de cara MESMO"
Not Violence,Fux é o playba Zona Sul que envelheceu e virou Ministro do STF cc @bete_davis
Not Violence,Gostei de um vídeo @YouTube de @claudiocvms http://t.co/cSEVIiz38i O Brasil Acordou - #ChangeBrazil
High,"Moradores da Comunidade da Vila Aliança relatam muitos tiros nesta manhã, o Caveirão está... http://fb.me/2JqW6yynQ"
VeryHight,RT @LeiSecaRJ: RT @DanielSillva_11: @PMERJ Assalto com vítima esfaqueada na rua Campo Sales na Tijuca.
VeryHight,"Tiros nas proximidades da Rua Burundi, em Bangu. #TirosRJ (17:06)"
Not Violence,"RT @TCA1533: RG TÁ NA ROCINHA,FLAMENGO TÁ NA MINEIRA,DANADO TA NO SÃO CARLOS,PRA GENTE OS ALEMÃO PEIDA,CÚ ROSA TOMA CUIDADO,QUE AS TROPAS V…"
VeryHight,"Essa ação ocasionou o ferimento de 06 policiais militares, um deles teve um ferimento próximo a vista ocasiona pela explosão de um morteiro"
Not Violence,"Esse povo da rocinha não perde uma oportunidade pra querer aparecer, tem q tudo tmnc mesmo essas porra"
Not Violence,jag #tänder #på #att #visa #upp mig https://t.co/OtHNuEtIXO
Not Violence,Gostei das propostas da #oposição #ogiganteacordou
Not Violence,Disse jesus vinde a mim todos os que estão cansados que os aliviarei ! no sentido figurado né senhores ¨pastores ¨#vempraRua
Not Violence,#vemprarua #movideo #brasil http://t.co/qJ7ACoBrmj
VeryHight,"20,12% dos alunos da rede municipal do Rio tiveram aulas afetadas por tiroteios https://t.co/VYsRwIEOsf #TirosRJ"
Not Violence,Bota a cara na rocinha que tu vai escuta oque não deve...
Not Violence,@alvarodamiao aumentou o consumo de óleo de peroba antes da votação pá #PEC37 é muita cara de pau!
Not Violence,"Belíssima Casa de Alvenaria na Beira do Mar na Zona Sul - Casa com 03 suites, banheiro social,… https://t.co/EDIrF79rDT"
VeryHight,"RT @LeiSecaRJ: RT @w_oliveira1: estava roubando na Av brasil, bateu de frente com os PMs do choque se f....."
Not Violence,"@vagnercostt Oi, vagner. Sabe nos dizer onde?"
Not Violence,Siapa yang ingin sekali kamu temui?#MPL
High,RT @marcelo061972: tiroteio na Serrinha nesse exato momento.
Not Violence,RT @kobarestart: #VemPraRua http://t.co/hTGTDBEc2s
Not Violence,I liked a @YouTube video http://t.co/YRyMlaTpY7 POLÍTICO OPORTUNISTA - #MudaBrasil
Not Violence,RT @nunahsouza: Espírito Santo só vira notícia quando é desgraça
Not Violence,Manifestantes fazem protesto por transporte gratuito na Zona Sul de SP https://t.co/eCWLVWIf4C #saopaulo
VeryHight,RT @LeiSecaRJ: EVITEM O LOCAL RT @Mikelvidal: @OperacoesRio polícias a pé no Rebouças.
Not Violence,"RT @centropresente1: @Barreto_06 não se preocupe são os últimos dias dessa bagunça .. Dia 01 de outubro,nova base centro presente."
Not Violence,RT @CircodaNoticia: #TVGlobo pagou multa de R$ 274 mi à Receita por causa de sonegação #copa2002 http://t.co/zH38CV2W3Z … #vemprarua #mudab…
Not Violence,May 2012 - Latest Batch of DHS #Occupy Documents Contains New Details About Monitoring of #Protest Movement http://t.co/quZUYxWBpE
Not Violence,RT @LuccasFelipe10: ☎️ Contato p/ shows &amp; eventos (21) 99292-5392 - Lucas ��Soundcloud Oficial: Dj Lucas da Zona Sul �� https://t.co/fyJUY…
Not Violence,"queria que alguém me chamasse pra piar na baixada, zona sul ta xoxadona"
Medium,"RT @Lana_Rhodes: No metro o povo ""fugindo"" da violência!! #doiemtodosnos #mudabrasil http://t.co/JT4bufB6uF"
VeryHight,"Tiros na Mangueirinha, em Duque de Caxias (01:14) #TirosRJ"
High,RT @LeiSecaRJ: RT @gilbertohora: tava rolando mt tiro na altura da maré alguma info de como tá?
Not Violence,"Vem Espírito Santo e faz uma grande obra em nossas vidas! não por causa de atos de justiça por nós praticados,... https://t.co/Ui0le1NRh7"
Not Violence,Michel Temer tiene al estado de Espirito Santo sumido en el caos y la violencia (+60 muer https://t.co/ZxHgBbVpYr https://t.co/6XskPsnZ2V
VeryHight,"RT @lucas_mecanica: Atenção, nos últimos dias grupo assaltando nos pontos de ônibus da central na presidente Vargas todos os dias a noite ."
Medium,"RT @bestknighter: You know the movie ""Purge""? It's kinda happening right now for real in Espirito Santo, Brazil. Scary stuff there and the…"
Not Violence,"RT @marmilbr: Exército deveria ter sido acionado com antecedência para atuar na Rocinha, diz Jungmann https://t.co/mFF6jz4Is2"
Not Violence,RT @KetyDC: Protesters earlier today in one of Rio's most famous postcards (AFP) #ProtestoRJ #ChangeBrazil http://t.co/LcMZzMVjmc
Not Violence,"@sandroreis_br Foi na V\u00e1rzea, atr\u00e1s do IML."
VeryHight,RT @JorgeWilsonDaS1: assalto agora na rua Vaz lobo no bairro de Vaz lobo....hb20 branco roubando geral quem estiver na rua!!!
Not Violence,"RT @1Bmusica: As vezes o ""mano"" cheio de tatuagens, é mais cheio do Espírito Santo, do que você que julga pela aparência. https://t.co/WoO1…"
Not Violence,Tráfego em Av. Nelson Cardoso #TransitoRJ vai atrasá-lo hoje em 21m mais que o normal https://t.co/eGDmROAC6I https://t.co/4aI6Ph5rt5
Not Violence,"RT @andrefran: Foto de hoje. Rua 2, na Rocinha. Só vi imagens semelhantes na Bósnia, Kosovo, Iraque e Afeganistão. https://t.co/OVEQqVJvym"
Not Violence,RT @DesconhecidosF: Até agora nenhuma livraria foi saqueada no Espírito Santo! ��
Not Violence,Você foi vítima de assalto ? O clima está quente na sua área? Ouviu tiros? Informe ao canal @AlertaAssaltoRJ que iremos alertar os cariocas.
VeryHight,"RT @bryanclemrj: Após perseguição, PM executa 2 bandidos na Pista central da W.Luiz bem em frente ao Rei do Bacalhau"
Not Violence,Espirito Santo - BR #amorES https://t.co/pHZpAuzyz3
Not Violence,"Minha família tá se programando pra ir a praia no domingo. Será que a Zona Sul, o Leme, estão preparados pra receber este grande evento?"
High,RT @LeiSecaRJ: Qui 07:08 RT @pblguedes: tiroteio em Madureira em frente ao mercadão. Escutei na band news
Not Violence,RT @wquik_: Eu moro no morro ela na zona sul
Not Violence,"RT @albertolk: P relaxar 2: Dilma demite Joao Santana e contrata Gurgel como marketeiro da sua campanha: ""quero como a #PEC37: 98%!"""
Not Violence,Eu moro no morroEla é da zona sul Sou negão e patricinha é loira do olho azul
Not Violence,À TODA COMUNIDADE POBRE DA ZONA SUL
Not Violence,ATUALIZAÇÃO: Av. D. Hélder Câmara deve ser evitada. Tempo de espera 36m maior que a média #TransitoRJ https://t.co/3hg2LkNpfK
Not Violence,"@Falacmg_Davi olha ele, falou o da zona sul"
Medium,"RT @ada_falou: O cuzão do 157 ganhou pela mata, peidou pra gente kkkk Rocinha tudo A até o final das contas ������"
VeryHight,"Tiros no Complexo do Chapad\u00e3o, em Costa Barros (01:09) #TirosRJ"
Not Violence,RT @N_Carvalheira: ❗Foto de Juliana Paes com Danúbia Rangel esposa do narcotraficante Nem da Rocinha provoca inquietação na Polícia https…
Not Violence,#VEMPRARUA http://t.co/hS2WoGVjhj
VeryHight,"RT @notavel: O que ocorre na Rocinha não é apenas ""um intenso tiroteio"". É uma imensa uma guerra. A maior desde 2004 quando houve invasão à…"
Not Violence,"Ai vcs que reclamam tanto da polícia, vão morar no Espírito Santo, seus animais!!!"
Not Violence,Vila Real de Santo António T2 centro Monte GordoAlojamentos para férias em Portugal - Zona Sul https://t.co/6nrIs0UD0o
Not Violence,Um haicai para os dias de clausura:Espírito aprisionadoNum estado de nome SantoClama por liberdade
Not Violence,RT @agencialupa: Criamos um #QuizLupa sobre o que aconteceu na @upprj da Rocinha desde 2012. Cheque sua memória no #Moments ��https://t.co…
Not Violence,"Ore assim:-Pai,aceito Jesus como Senhor e Salvador,escreve meu nome no Livro da Vida,dá-me Teu Espírito Santo e,leva-me para os Céus!"
Not Violence,#VemPraRua
VeryHight,"RT @MpaivaFLU: @LeiSecaRJ acabei de presenciar uma tentativa de assalto logo após o túnel Marcelo Alencar,na subida para a ponte rio Niterói"
VeryHight,"RT @BanguRJO: Uno Way Prata 2014. Roubado hj na Rua Iriguaçu, Bangu. #RoubadoRJ #disqueDenuncia @LeiSecaRJ"
VeryHight,RT @Viniciu2Santos: @PMERJ assaltantes em motos quase todos os dias na rua comandante coelho3843 vista alegre roubando moradores pedestres
Not Violence,@lovereedus_ isso ae #VemPraRua u.u kk
High,RT @g1: Sobe para 113 o número de mortes no ES durante a ausência dos PMs https://t.co/zuzWj7xC9M #G1 #crisenoES https://t.co/skaFQU23Yv
Not Violence,"@PVictorRC A equipe agradece muito seu elogio, Paulo! Valeu!"
Not Violence,RT @RaabeBastos: Sobre o que ocorreu no Espírito Santo. #BrasilTemCura https://t.co/lhgOx0fDcO
VeryHight,"@AntonioBiancoN4 ol\u00e1, os tiros s\u00e3o em Tribob\u00f3? sabe informar uma localidade mais aproximada?"
High,"RT @LeiSecaRJ: RT @13vlopes: Tiros na região do Morro do Salgueiro, na Tijuca"
Not Violence,"Espírito santo diz pra mim o que fazer pra não pecar contra aquele que só fez me amar Espírito Santo, diz pra mim,será que sou capaz?��☝"
Not Violence,#Plantão #TvVândalos : #VemPraRua Coloca o senado pra trabalhar... Missão impossível Cumprida e Comprida... #Dilma está com calos nos pés...
VeryHight,Idosa é encontrada morta na Zona Sul. #Polícia #BandNewsFM https://t.co/5Ys3kMl82Q
Not Violence,"RT @Lua_Blanco: Bem triste com a situação que o Espírito Santo tá passando. Ninguém saindo de casa, medo rondando. Muita força pros meu cap…"
VeryHight,"Informações de tiroteio neste momento na linha vermelha , pessoas deitadas no chão @LeiSecaRJ"
Not Violence,#NorthKashmir में फायरिंग में दो लोगों की मौत के बाद प्रदर्शन http://t.co/E9oLgkzLEd #Firing #Kashmir #Protest http://t.co/glAeuvrGZH
VeryHight,"Atenção motoristas, evitem a Estrada do Catonho, homens fortemente armados na região."
Not Violence,#VEMPRARUA #TIA #CONGRESSONACIONAL #BRASÍLIA #DF http://t.co/kAR87aiDlD
Not Violence,@JooVictorAbran1 obrigada de qualquer forma!
VeryHight,TROPAS FEDERAIS VOLTARÃO ÀS RUAS DO RIOPolícia busca chefe do tráfico na RocinhaConfira a reportagem de Cláudia Ramos #SBTBrasil
VeryHight,"Os tiros continuam em Benfica, altura da Leopoldo BUlh\u00f5es (12:13) #TirosRJ https://t.co/HEHPn7bPq2"
Not Violence,"RT @ChefDeniseBV: Que as leis de crimes hediondos como corrupcao ativa, passiva sejam cumpridas com a prisao dos mensaleiros.#mudabrasil Pa…"
Not Violence,RT @MarcioTurra: Alô Dilma! Copia o @geraldoalckmin_ e passa o bisturi nos gastos públicos. #MudaBrasil
VeryHight,381 escolas ficaram fechadas um ou mais dias no 1\u00ba semestre de 2017 por causa de tiroteios ou em consequ\u00eancias deles https://t.co/V928z2A5DY
Not Violence,"RT @PMERJ: ���� #BoaNoite, Rio de Janeiro! A #PMERJ trabalha por você... Conte com a gente!!#SempreAtuantes #ServireProteger https://t.co/uE…"
VeryHight,@garciaju_ 300x mais bem armados e com mto mais efetivo ainda. Ver eles acuados na rocinha foi surreal.
Not Violence,@Sommerleandro Muito vaga me lembro que estou em uma boate aqui na zona sul
Not Violence,RT @Noticiario_sp: Manifestantes fazem protesto por transporte gratuito na Zona Sul de SP https://t.co/eCWLVWIf4C #saopaulo
Not Violence,"@idolsshine espírito santo, vc é do Uruguai né?"
Not Violence,@PriiCosttaa Boa tarde. Onde s\u00e3o os tiros?
VeryHight,RT @JornalOGlobo: Produtos roubados começam a ser devolvidos no Espírito Santo. https://t.co/olwJbocDKB https://t.co/iioettKb3e
VeryHight,RT @ju_casal: @LeiSecaRJ teve arrastão na LV sentido S João mas já está tranquilo. Passei no sentido contrário e vi muita gente desesperada!
Not Violence,@skathwas75 O que esperar de uma população que se importa mais com o fim de um bandido numa novela do que com o tiroteio na Rocinha?
VeryHight,"Invasão da Rocinha foi ordenada por traficante preso, diz porta-voz da PM https://t.co/QtH2WKznQY"
High,Alerta Assalto RJ informa :Moradores da Vila Aliança relatam tiros nesse momento
Not Violence,#EuVotoDistrital http://t.co/SaoRaNlHnD via @euvotodistrital#changebrazil #mudabrasil
Not Violence,"Amar futebol é uma coisa, agora um estádio não é mais importante do que um hospital ou uma escola! #ogiganteacordou"
VeryHight,"@CMariavg Oi, Vasca\u00edna! Sabe dizer onde os tiros?"
Not Violence,"please, pray for Espírito Santo: a Brazilian state wich is with no police officers and now the criminals are unstoppable,people are dying����"
Not Violence,"Exatamente amigo, será usado p/alertar os cariocas RT @ribamarvianna: Que seja usado somente para alertas de crimes, e não para comércio."
High,"RT @LeiSecaRJ: Devido tiroteio na Ary Parreiras, transito ta sendo desviado por pedestres para Joaquim Tavora, na altura da Moreira Cesar."
Not Violence,"RT @OFICIALanonymos: Lema de hoje: ""Hoje eu não posso, tenho manifesto."" #VemPraRua"
Not Violence,RT @nessandd: MOSTRA A CARA FILHA DUMA PUTA #vemprarua
Not Violence,Artigo - Caos na mobilidade urbana esgotou a população | http://t.co/WoXdQie9q1 | #mobilidadeurbana #protesto #artigo
VeryHight,RT @PadreMiguelNews: Veículo roubado e abandonado encontra-se de baixo do viaduto de Deodoro.
Not Violence,Reforma tributária ninguém fala #mudabrasil #pacto
Medium,"Segundo a @UNICEF, viol\u00eancia no Rio \u00e9 prejudicial ao desenvolvimento das crian\u00e7as: https://t.co/L2KHx0Pbd5"
Not Violence,10H NA SAENS PENA!#ConexãoBH_RJ #DomingoEuVouAoMaracanã #CopaPraQuem #TerroristaÉoEstado http://t.co/TjZsVL6K2I
Not Violence,RT @FranCastro: O caos no Espírito Santo mostra claramente o resultado de um arrocho fiscal. O mesmo arrocho que o Michel Temer... https://…
Not Violence,@JeanSena Só Magno junto com Ricardo salvam Espírito Santo amém!
VeryHight,RT @PMERJ: ������#PoliciamentoNasRuas - Agentes da #UPPAdeusBaiana estão na Rua Uranos com Senador Mourão Vieira. #PMERJ #VamosJuntos https://…
Not Violence,"RT @luvtaekook_: Espírito Santo tá parecendo aquele filme, uma noite de crime. Principalmente no mestre Álvaro socorroo"
VeryHight,RT @gazetaonline: Espírito Santo tem recorde de assassinatos e já soma 95 mortes desde sábado https://t.co/4J2dOQuWcb https://t.co/xxZYwuFM…
VeryHight,RT @PMERJ: Policiais feridos por ataques de rojões em frente a ALERJ
Not Violence,#Ogiganteacabou #vemprarua #AnonymousBrasil http://t.co/giBOhM2wMf
VeryHight,RT @roseait: @AlertaAssaltoRJ assaltado por um pivete próximo do posto gasolina em frente UPA Jacarepaguá. Estava de bicicleta.
VeryHight,RT @dospredio_: Hoje aqui no espírito santo você tem duas escolhas ou você sai pra roubar ou você sai pra ser roubado..
Not Violence,Gostei de um vídeo @YouTube de @nilmoretto https://t.co/8eL4nn0InR O ESPÍRITO SANTO NO PÓS-APOCALIPSE - Ep.909
Not Violence,Hoje o Espírito Santo ta tenso...
Not Violence,"#OGiganteAcordou #cego, c/ sérias #lesões #cerebrais e caminha ensandecido em sua direção,@AngToledo! Proteja-se, chame o Davi c/ sua funda‼"
Not Violence,Desculpa Jesus mas o espírito santo é mais forte ���� O orgulho azul e branco escorre me pelas veias
VeryHight,"Clima tenso no Complexo de Alemão, moradores relatam muitos tiros e um morador da Fazendinha baleado @LeiSecaRJ"
Medium,Cúpula da Segurança do estado se mantém em silêncio após conflitos na Rocinha https://t.co/6GgilYGyaQ
VeryHight,"Atualiza\u00e7\u00e3o: Tiros nas proximidades do Morro da Formiga, Tijuca #TirosRJ (01h05) https://t.co/neh8LiWjS3"
VeryHight,RT @DricaMars: a bomba de efeito moral rolando solta na Alerj. Parece que os servidores são bandidos! Só queremos nossos direitos !!
Not Violence,"RT @_guhstavosantos: A voz do Espírito Santo é fraca em ti, ela não é fraca em si, mas está limitado porque você se recusa a ouvir."
Not Violence,RT @anneliseflm: espirito santo sem onibus e policia militar/civil. moqueca horror story
Not Violence,"RT @GudeGeneral: Políticos imundos votando contra a #PEC37 como se estivessem 'salvando o país PQP, isso sim é oportunismo eleitoreiro'"
Not Violence,"RT @PatoHomologado: Espírito Santo é prenúncio do q será o Brasil c a PEC55 q vai cortar verbas de segurança, saúde e educação por 20 anos.…"
Not Violence,"RT @editorahumanas: Relaxa ai, o Espirito Santo ta livre da polícia filha da puta e violenta... https://t.co/Sc1wxtq4iI"
Not Violence,"RT @IAMAT_Travel: Travelling to #Brazil? For your protection, #YellowFever vaccination is recommended. https://t.co/xOUgEHCzlJ"
Not Violence,"RT @Deesconhecidos: Marcelo Rezende tem falência múltipla de órgãos. Com câncer, jornalista está internado no hospital Moriah, Zona Sul de…"
Not Violence,"RT @ZinvaZ: Se fofoca fosse profissão, não existiria desempregado(a) na Rocinha !"
Not Violence,"Amigo, abrigo, renovo, consolo, Espírito Santo de DeusQue fala comigo e ora por mim ❤❤��"
Not Violence,"Lideres e reincidentes de hoje, terroristas! #changebrazil #ImpeachmentDilmajá http://t.co/9VrbqgZHVz"
Not Violence,"Criador de ""V de Vingança"",Alan Moore diz que ""é maravilhoso o que está acontecendo"" no Brasil. http://t.co/7VslHeYP7l #protestorj"
Not Violence,"RT @squaderek: Em nome do pai, do filho, do espirito santo, amem https://t.co/pYbeZpP3E1"
High,"Todos os dias,tendo arrast\xe3o na 24 de maio, em frente a esta\xe7\xe3o Silva Freire e nada de tomarem uma atitude."
Not Violence,"#MudaBrasil! A hora é agora! Chega de LuLLadrao, pai do mensalão! Chega de poste! Chega de CORRUPÇÃO, INCOMPETÊNCIA e MENTIRAS! #ForaPT!"
VeryHight,#ALERTA_ASSALTO #FIQUEM_ATENTOS
VeryHight,"RT @pontejornalismo: “A polícia vem pra ‘acabar com a guerra’ e retira mais direitos”, diz morador da Rocinha (https://t.co/kKeX90gYtb) #po…"
